Abreviatura,Expansión
"Bruma","Niebla que se levanta del agua." 
"Buque","Barco de grandes dimensiones construido generalmente de acero, no propulsado por medio de velas y destinado a fines comerciales, militares u otros no deportivos." 
"Bularcamas","Cuadernas reforzadas que se intercalan entre las cuadernas normales un barcos grandes y buques." 
"Burdas","Cables que corren desde el mástil hasta las aletas en forma similar al estay popel, con aparejos en sus extremos que permiten realizar ajustes para controlar la flexión del mástil." 
"Cabecear","Uno de los movimientos del barco consistente en una elevación y descenso alternativos de la proa y la popa, debido a las olas de proa." 
"Cabeza","Extremo superior de la caña del ancla, donde va el arganeo." 
"Cable","Medida de longitud, submúltiplo de la milla marina, equivalente a su décima parte, es decir 185,2 metros." 
"Cabina","Parte de la embarcaci6n cerrada por la carroza, donde se encuentra el espacio habitable para la tripulación." 
"Cabo","Cualquiera de las cuerdas que se utilizan a bordo. Accidente geográfico consistente en dos puntas que se intercala en el agua, determinando entre ellas una concavidad en la costa." 
"Cabotaje","Navegación que se hace cerca de la costa guiándose por su conformación (navegación entre cabos)." 
"Caer","Hacer que la proa se dirija en una dirección determinada. Por ejemplo caer a babor." 
"Cajera","Abertura practicada en un mástil, percha o casco destinada a alojar un moton. También se llama así a la abertura del moton." 
"Calabrote","Cabo muy grueso utilizado generalmente para amarras en los buques." 
"Calado","Profundidad máxima a la que se sumerge la parte inferior del quillote, medida desde la línea de flotación." 
"Calado de diseño","Es el correspondiente al desplazamiento máximo del barco." 
"Calafatear","En los barcos de madera forrados con tracas es la operación de rellenar las juntas de las tablas con estopa y cubrirlas luego con masilla 
"Cancamo","Herraje con forma de argolla que sirve para nacer firme un moton o cabo. También se lo puede llamar arraigo o arraigado." 
"Candelero","Cabilla de acero inoxidable colocada en forma vertical, que sirve para soportar el guardamancebo." 
"Caña","Parte del timón que sirve para empuñarlo. Parte correspondiente entre la cruz y el arganeo de un ancla." 
"Capear","Una de las formas de navegación con mal tiempo, consistente en tratar de presentar la amura al mar lográndose un movimiento de deriva lenta y controlada." 
"Caperol","Extremo superior de la roda." 
"Carena","Parte sumergida del barco. Similar a obra viva." 
"Carlinga","Herraje o refuerzo estructural en el que apoya la mecha del mástil." 
"Carroza","Estructura que sobresale por encima de la cubierta a fin de aumentar la altura inferior de la cabina." 
"Carpa","Lona que se coloca para proteger el barco de los rayos solares e impedir la acumulación del agua de lluvia." 
"Carta náutica","Representación gráfica de una extensión de agua y la costa con indicación de todos los datos de interés al navegante. Equivale al mapa de uso terrestre." 
"Casco","Armazón del barco que comprende la estructura, el forro y la cubierta pero no incluye la arboladura y las jarcias." 
"Cataviento","Elemento utilizado para señalar la dirección del viento relativo." 
"Cazar","Cobrar un cabo." 
"Centro de carena","Es el centro del volumen sumergido también llamado volumen de carena. En ese punto actúa la fuerza de empuje, que mantiene al barco a flote. Su posición depende solo de la forma de la carena." 
"Centro de gravedad","Es el punto donde actúa la fuerza de gravedad, es decir el peso o desplazamiento del barco. Su posición depende solo de los pesos existentes a bordo y de su distribución." 
"Centro de resistencia lateral","Es el centro del área lateral sumergida. Puede considerarse aproximadamente que en ese punto actúa la fuerza de resistencia lateral." 
"Centro vélico","Es el punto donde actúa la fuerza generada por el viento en la vela. Puede considerarse, en forma aproximada que coincide con el centro geométrico de la vela en cuestión." 
"Ceñir","Navegar contra el viento con el menor ángulo posible." 
"Cepo","Pieza de hierro, que se adapta a la caña del anclaje cerca del arganeo para que alguna de las uñas penetre y agarre en el fondo." 
"Cerrazón","Oscuridad del cielo, cubierto por nubes densas que presagia tormenta." 
"Chalana","Pequeña embarcación de trabajo, de fondo plano." 
"Chalupa","Denominación antigua. Embarcación no muy grande que puede llevar dos mástiles." 
"Chata","Buque pequeño de fondo plano y gran capacidad de carga." 
"Chicote","Extremo de un cable, cabo o cadena." 
"Chicha","Calma absoluta." 
"Chinchorro","Pequeño bote auxiliar." 
"Chubasquera","Protección contra la lluvia y salpicaduras hecha de lona o material adecuado que se coloca en la salida de la carroza. También suele llamarse así a la empaquetadura que se hace al mástil cuando pasa por la fogonadura, para evitar o limitar las filtraciones a la cabina." 
"Ciar","Remar al revés, navegar hacia atrás." 
"Cintón","Listón de madera que va por la parte exterior de un buque y en toda su longitud y sirve para defender e costado. En una embarcación pequeña se lo denomina verduguillo." 
"Codaste","Elemento estructural que continúa la quilla en la popa. En los buques antiguos era una gran pieza fundida que permitía alojar la hélice en un hueco llamado vano, limitado por el codaste proel y el codaste popel." 
"Cockpit","Espacio del casco, donde se ubica la tripulación, también llamado bañera." 
"Codera","Cabo que se hace firme en la popa y que sirve para amarrar la embarcación o para cambiar su orientación." 
"Compás","Elemento para dibujar y/o medir distancias en las cartas náuticas. Puede ser un compás de dibujo o un compás de puntas secas." 
"Compás magnético","Instrumento que sirve para determinar la dirección en que se navega. Es el equivalente a la brújula de uso terrestre." 
"Compensación","Acción de corregir los desvíos del compás magnético." 
"Condiciones marineras","Aptitud de una embarcación para navegar en cualquier condición climática." 
"Conserva","Compañía que se hacen dos o más barcos en navegación. Se dice "navegación en conserva"." 
"Cornamusa","Elemento que sirve para hacer firme un cabo." 
"Corredera","Instrumento que sirve para medir la distancia navegada por el barco y conocer su velocidad." 
"Correr","Una de las formas de navegación con mal tiempo consistente en presentar la aleta al mar con poca o ninguna vela. En este último caso se dice correr "a palo seco"." 
"Costados","Cada uno de los lados de un casco de proa a popa y desde la línea de flotación hasta la cubierta." 
"Costillas","Sinónimo de cuadernas." 
"Cote","Vuelta sencilla que se le da a un cabo." 
"Coz","Parte inferior de un mástil, también llamada mecha." 
"Crucetas","Elementos de metal o de madera que desvían el recorrido de los obenques, permitiendo controlar o eliminar la flexión lateral del palo." 
"Crujía","Plano de simetría longitudinal vertical del barco. Su intersección con el casco determina la línea de crujía." 
"Cruz","Unión de la caña del ancla con los brazos." 
"Cuaderna","Miembro estructural transversal que nace en la quilla y se extiende hacia los costados dándole rigidez." 
"Cuadernal","Es un tipo de motón pero que tiene varias roldanas en lugar de una sola. Se lo emplea para confeccionar aparejos." 
"Cuaderno de bitácora","Libro en el cual se registra todos los datos necesarios para navegación por estima." 
"Cuadra","Dirección perpendicular a la quilla equivalente al través. También se llama así un tipo de vala de forma rectangular usada antiguamente que en la actualidad solo se ve en los grandes veleros." 
"Cuadrante","Es la cuarta parte de un circulo. Se denomina así a cada una de las cuatro partes en que se divide la rosa de los vientos, siendo el primer cuadrante el norte." 
"Cuarta","Nombre de las 32 divisiones de la rosa de los vientos que se hacia antiguamente." 
"Cuarterón","Carta náutica de escala grande que representa algún lugar de interés particular como por ejemplo un puerto." 
"Cubierta","Cierre superior del casco que se contribuye a la estanqueidad del mismo y que permite la existencia de un espacio habitable para la tripulación." 
"Cubierta principal","En los buques suele haber varias cubiertas. Se llama principal a la que cierra el casco dándole estanqueidad y resistencia. También se llama cubierta de intemperie." 
"Cuchilla/o","Toda vela triangular que trabaja sobre estay o como si lo tuviera." 
"Culebra, culebrilla","Cabo delgado que, pasando por los ollaos de una vela la aferra a un mástil o percha." 
"Culebrear","Acción de pasar una culebrilla." 
"Cuter","Denominación de un aparejo formado por la vela mayor, foque y trinquetilla." 
"Dracón","Denominación comercial de un tejido sintético con el cual se confecciona la mayoría de las velas." 
"Declinación magnética","Angulo formado entre las direcciones del norte magnético y el norte geográfico." 
"Defensas","Elementos que se colocan para preservar el casco de los choques y/o roces con otros barcos o el muelle." 
"Demora","Es el ángulo formado entre la visual de un objeto y la línea de crujía." 
"Deriva","Angulo formado entre la derrota y el rumbo por el efecto de la corriente." 
"Derivar","Maniobra consistente en alejar la proa de la direcci6n del viento." 
"Derrame","Se lama así al viento que se escapa por el lado del sotavento de la vela." 
"Derrota","Es la trayectoria seguida por la embarcación." 
"Derrotero","Publicación náutica que contiene instrucciones, datos e informaciones de interés para el navegante." 
"Desabrigado","Fondeadero expuesto al viento y al mar, sin resguardo." 
"Desarbolar","Acción de sacar el mástil o perdida accidental del mismo." 
"Desarmar","Quitar las velas y los elementos necesarios para navegar." 
"Desatracar","Operación inversa atracar." 
"Descuartelar","Navegar con el viento más franco que de ceñida." 
"Desentalingar","Soltar el cabo o cadena del arganeo de un ancla." 
"Desplazamiento","Es el peso del volumen de agua que desplaza la parte sumergida del barco. Es igual al peso del barco." 
"Desvío","Es el ángulo formado entre la dirección del norte magnético y el norte del compás magnético." 
"Dinghy","Velero pequeño, con orza. La palabra correspondiente en castellano es yola, no muy usada en nuestro país." 
"Draga","Buque destinado a excavar, limpiar y/o profundizar fondos y canales." 
"Driza","Cabo o cable que sirve para izar la vela. Generalmente está formado por una parte de cabo, que se denomina llamador, y otra de cable." 
"Durmiente","En embarcaciones de madera","listón que corre de proa a popa, contra la cabeza de las cuadernas, sobre el cual se apoyan los baos." 
"Embarrancar","Varar, clavándose el barco en el fondo." 
"Embestir","Chocar contra otro barco, o contra la costa ("embestir continente")." 
"Embicar","Forma de atraque consistente en embestir la costa por proa y largar un ancla por popa." 
"Empaquetadura","Composición de varias materias que se coloca entre dos superficies, para que su unión resulte estanca." 
"Empavesado","Conjunto de adornos que se coloca en buques, barcos o en el mástil de un club, en ocasiones especiales." 
"Empopada","Navegar recibiendo el viento por popa." 
"Encalmarse","Quedarse sin viento." 
"Encallar","Varar, clavarse en fondo duro o entre piedras." 
"Encapilladura","Parte superior del mástil." 
"Encepar","Enredarse la cadena con el cepo o las uñas con el ancla." 
"Enfachar","Poner la embarcación proa al viento." 
"Enfilación","Línea de posición determinada por dos objetos que se ven superpuestos, es decir en una misma vertical." 
"Engalanado","Sinónimo de empavesado." 
"Engalgar","Fondear con dos o más anclas en serie, en una misma línea de fondeo, con el fin de asegurar un mejor agarre en el fondo y aumentar la resistencia que ofrece una sola." 
"Enjaretado","Especie de rejilla formada por barrotas y listones que forma un piso por encima del fondo y aísla del agua que se acumula en la sentina." 
"Entalingar","Hacer firme la cadena o cabo al arganeo de un ancla." 
"Entena","Verga de la vela latina." 
"Envergar","Colocar una vela en el mástil y en las perchas correspondientes." 
"Escala de una carta","Es el cociente entre la dimensi6n que tiene un objeto dibujado y su dimensión real." 
"Escala de gato","Escalera portátil hecha de cabo o cable." 
"Escala de tojino","Escala fija, por lo general vertical, construida de barrotes de hierro." 
"Escandalosa","Vela triangular que se iza entre el mástil y el pico de una vela cangreja." 
"Escadallo","Peso generalmente de plomo de la sonda de mano." 
"Escarceo","Especie de efervescencia en la superficie del agua, formando pequeñas olas, producidas por el encuentro de corrientes." 
"Escoben","En los buques se denomina así al orificio practicado en la proa, por el cual salen las cadenas de las anclas y amarras." 
"Escollo","Arrecife o peñasco semisumergido." 
"Escora","Inclinación del barco con respecto a la vertical." 
"Escota","Cabo que sirve para cazar una vela." 
"Escuadra","Elemento estructural que vincula el bao con la cuaderna." 
"Eslora","Longitud de la embarcación." 
"Espejo","Parte plana o ligeramente curva de la popa." 
"Espia","Nombre que se da a un cabo que se utiliza en un buque para maniobrarlo." 
"Espiche","Agujero pequeño que se hace en el casco para desagotarlo, también suele llamarse así al tapón que se utiliza para cerrarlo." 
"Estanco","Todo espacio, compartimiento o mamparo que no permite el ingreso de líquidos y a veces gases." 
"Estanqueidad","Propiedad de un casco o compartimiento del mismo de no permitir el ingreso de líquidos. Hermeticidad." 
"Estay","Cable que da sustento al mástil en el sentido proa-popa." 
"Estela","Rastro que queda en el agua debido al paso de la embarcación." 
"Estima","Procedimiento que permite calcular la posici6n del barco, en base a los rumbos y distancias navegadas." 
"Estribor","Lado derecho de la embarcación mirando de popa a proa." 
"Estrobo","Trozo de cable con gazas en ambos extremos que se utiliza para suplementar una driza, algún aparejo, o elevar el puño de amura de una vela." 
"Estropada","Inercia que trae la embarcación arrancada." 
"Fibra de vidrio","Material que, combinado con resinas apropiadas, permite la construcción de cascos y elementos por moldeado." 
"Filar","Aflojar, largar un cabo." 
"Filastica","Cada una de las fibras o hebras finas que componen la base de un cabo o cable." 
"Flechaste","En grandes veleros se denomina así a los cabos que se atan horizontalmente entre los obenques para subir a la arboladura." 
"Fondeadero","Lugar apto para fondear. También se lo llama tenedero." 
"Fogonadura","Orificio practicado en la cubierta por donde entra el mástil al casco." 
"Fondear","Sinónimo de anclar." 
"Fondo","Parte interior del casco." 
"Foque","Vela de forma triangular que se iza en el triángulo de proa, con poca o ninguna superposición con la vela mayor." 
"Fortuna","Todo arreglo de emergencia que se improvisa en navegación. Se habla así de timón de fortuna, aparejo de fortuna, ancla de fortuna, etc." 
"Forro","Conjunto de tablas, maderas o, en el caso de buques, chapas que cubren la estructura del casco, proporcionándole estanqueidad." 
"Fragata","Barco con aparejo de tres o cuatro mástiles, con vergas y cofas en todas ellas." 
"Fraile","Especie de bita de madera que se colocaba generalmente en la proa para amarrar." 
"Franco","Nombre que se da a los vientos que soplan desde un descuartelar hasta un largo. También se usa para designar al viento que permite navegar a rumbo directo sin necesidad de bordejear." 
"Francobordo","Distancia medida verticalmente desde la línea de flotación, hasta la cubierta. De su valor dependen la seguridad y la comodidad interior de la embarcación." 
"Gallardete","Especie de bandera pequeña pero terminada en punta teniendo variada significación según sus colores. Cada club tiene el suyo propio." 
"Galleta","Sombrerete que se coloca en el tope de un mástil o también de un asta de bandera. Pieza de aluminio o plástico que da rigidez al puño de driza." 
"Garete","Ir "al garete" significa estar a la deriva, sin gobierno, quedando el barco librado a la acción del viento, olas, corriente o marea." 
"Garrear","Dícese del ancla cuando no hace cabeza, no permitiendo al barco quedar fondeado con seguridad." 
"Garrucho","Herraje que permite hacer firme la vela mayor al mástil." 
"Gatera","Tubo por el cual sale la cadena del ancla de un buque de la caja de cadenas al cabrestante." 
"Gaza","Vuelta en forma de ojo que se hace con un cabo o cable." 
"Goleta","Embarcación de dos mástiles aproximadamente de alturas iguales o mayor el de popa. Puede haber de tres mástiles." 
"Grampín","Pequeño rezón." 
"Grandes veleros","Denominación genérica que se da a los barcos de velas de grandes dimensiones y aparejos clásicos, generalmente destinados a escuela, como por ejemplo la "Fragata Libertad"." 
"Gratil","Lado de la vela que se sujeta al mástil o al estay constituyendo el borde de ataque de la misma." 
"Grillete","Herraje en forma aproximadamente de "U" de múltiples aplicaciones a bordo. Hay varios tipos","giratorios, revirados, automáticos, etc." 
"Grímpola","Gallardete pequeño que se ubica en el tope del mástil para indicar la dirección del viento. Modernamente se lo reemplaza por una veleta." 
"Groera","Abertura que se practica en las varengas para dar paso al agua de la sentina." 
"Guaira","Vela de forma triangular cuyo gratil va afirmado al mástil en su parte inferior y en su parte superior a un pico que se iza contra el palo." 
"Gualdrapear","Acción de flameo de la vela ya sea por falta de viento, defecto de forma y/o cazado de la misma o por un exceso de ordaza." 
"Guardacabo","Anillo de metal o plástico que se coloca en el interior de una gaza para evitar los deterioros del rozamiento 
"Guardamancebo","Cable o cabo que, sostenido por los candeleros, se coloca en bandas para seguridad de la tripulación." 
"Guindaleza","Cabo que forma parte de la sonda de mano." 
"Guindola","Especie de asiento generalmente formado por una tabla y cuatro vientos unidos por un grillete y que se afirma a una driza a fin de izar un tripulante para hacer reparaciones en los mástiles. Salvavidas especial que tiene una linterna de accionamiento automático para permitir su localización cuando se lo arroja al agua." 
"Guiñada","Caer la proa hacia una dirección distinta de la que tenia anteriormente ya sea en navegación o estando el barco amarrado. Orzada violenta y peligrosa navegando de empopada con spinnaker." 
"Hacer cabeza","Al fondear, se dice que el ancla "hace cabeza" cuando se afirma, se clava en el fondo." 
"Hembra","Herraje que puede estar ubicado en el timón, en el codaste o en el espejo, donde encastran los machos del timón." 
""Imbornal","Orificio practicado en algún miembro estructural para permitir el paso del agua." 
""Izar","Hacer subir algo por medio de una driza, amante o amantillo." 
"Jarcia","Todo el conjunto de cables y cabos de un barco." 
"Jarcia firme","Término utilizado para todos los cables de a bordo. Comprenden básicamente los obenques estays." 
"Jarcia móvil o de labor","Término utilizado para los cabos de a bordo. Comprende básicamente las escotas y todos los cabos de maniobras." 
"Ketch","ver queche." 
"Kevlar","Moderno material sintético de gran resistencia y poco peso que se utiliza en forma de filamentos en la confección de velas." 
"Landa fija","Herraje general mente abulonado al casco al cual se hace firme un obenque o estay." 
"Landa móvil","Herraje que vincula un estay u obenque a la landa fija. Se llama móvil porque tiene varias posiciones posibles para el perno, permitiendo de esta forma cambiar la puesta a punto del mástil." 
"Lantia","Farol que sirve para iluminar la bitácora." 
"Lanzamiento","Distancia que se prolongan los extremos de popa y proa por sobre la línea de flotación." 
"Largo","Se denomina viento al largo al que viene más franco que a la cuadra, y menos que por la aleta." 
