Abreviatura,Expansión
"Pendura","Se dice del ancla suspendida por encima o debajo de la superficie del agua, "ancla a la pendura"." 
"Penol","Punta o extremo de una percha o verga." 
"Percha","Todo palo que forma parte del aparejo de un barco." 
"Pico","Percha que se apoya o articula debajo del mástil por uno de sus extremos, llevando el otro más levantado, cargando una vela cangreja, o guaira." 
"Pico de loro","Parte extrema de la uña del ancla." 
"Pie de amigo","Pequeño puntal que se coloca debajo del mástil cuando este apoya sobre cubierta a fin de transmitir los esfuerzos a la quilla." 
"Pie de gallo","Ramales de un cabo o cable donde se hace firme un aparejo." 
"Pinula","Instrumento que se adiciona a un compás magnético, a fin de tomar marcaciones." 
"Pinzote","Herraje extremo de la botavara o el tang6n que se articula con el tintero, que va fijo en el mástil." 
"Plano lateral","Proyección del perfil longitudinal de la carena sobre el plano de cujia." 
"Pluma","Aparato que se utiliza para arriar e izar cargas, pesos e incluso barcos." 
"Popa","Parte trasera de la embarcación." 
"Portaespía","Herraje que sirve para pasar los cabos de remolque o amarre evitando su deterioro por el roce contra la cubierta." 
"Práctico","Piloto u hombre de mar, que es contratado para hacer pasar un buque por determinado lugar debido a su gran conocimiento del mismo." 
"Proa","Parte delantera de la embarcación." 
"Publicaciones náuticas","Son aquellas que se editan expresamente como ayudas a la navegación, tales como las tablas de mareas, cartas náuticas, etc." 
"Puesta a punto","Ajuste de una vela o mástil que se hace con la finalidad de lograr su mayor eficiencia." 
"Pujamen","Relinga inferior de la vela." 
"Quebranto","Deformación, flexión del casco, que produce un descenso de la proa y de la popa." 
"Queche","Aparejo compuesto por dos mástiles","mayor y mesana. Este último tiene su fogonadura delante del timón." 
"Quilla","Elemento estructural que corre de proa a popa siendo el principal refuerzo longitudinal, en el cual descargan los demás. Equivale a la columna vertebral. En la quilla encastran las cuadernas, la roda y el codaste." 
"Quillote","Elemento que se hace firme a la quilla y cumple las funciones de alojar el lastre, que asegura la estabilidad, y dar al barco un plano lateral." 
"Rabiza","Cabo delgado unido por uno de sus extremos a un objeto para sujetarlo, como el cabo o trenzado que lleva la navaja marinera, para asegurarla a la muñeca o al cuello." 
"Rastrera","Vela utilizada en los grandes veleros que se coloca casi a ras del agua." 
"Recalar","Luego de una larga navegación, aproximarse a una costa para reconocerla y determinar la posición." 
"Recalmón","Calma repentina del viento." 
"Regala","Refuerzo que se coloca como una prolongación vertical de la banda por encima de la cubierta." 
"Relinga","Lado de una vela, también cabo que se cose por dentro del mismo." 
"Repicar","Tensar una relinga, aparejo o cabo." 
"Restinga","Punta o lengua de arena o piedra bajo el agua y poco profunda." 
"Retenida","Todo cabo o aparejo que sirve para evitar la caída, resbalamiento o movimiento de una cosa." 
"Rezón","Ancla de cuatro uñas y sin cepo, usada en embarcaciones para rastrear objetos en el fondo, dándosele también el nombre de grampín cuando es pequeño." 
"Ría","Brazo de mar que se interna en la costa y en la desembocadura de un río próximo al mar." 
"Rifadura","Desgarramiento de una vela 
"Rizos","Ver mano de rizos, matafiones." 
"Roda","Parte de la proa del casco que va desde de la quilla a la cubierta. En barcos de madera es un elemento estructural que se encastra en la quilla." 
"Rol","Lista de la tripulación de un barco." 
"Rolar, rolido","Uno de los movimiento del barco consistente en una oscilación transversal, escorando alternativamente a una y otra banda." 
"Ronza","Desplazamiento lateral del barco, caída a sotavento." 
"Rosa de los vientos","Círculo en el cuál están marcadas las divisiones de los rumbos en el horizonte. Antiguamente se dividía el circulo en 32 cuartas, en la actualidad se trabaja con 360 grados." 
"Rumbo","Angulo formado entre la línea de crujía y el norte. Abertura producida en el casco por accidente." 
"Sable","Listón de madera plana, que se introduce en los bolsillos que llevan en su baluma, para mejorar su forma aerodinámica y sostener el alunamiento." 
"Sagula","Driza fina que se utiliza para izar banderas." 
"Saltar","Filar el foque antes de virar. Cambio repentino de la dirección del viento." 
"Sargazo","Alga de color rojo pardo, que abunda en algunos lugares del mar, formando verdaderas praderas que se denominan "Mar de los Sargazos"." 
"Sección transversal","Es el resultado que se obtiene de cortar el casco con un plano transversal perpendicular al de crujía. Corresponde al trazado de las cuadernas." 
"Sección maestra","Es la mayor de las secciones transversales, la que corresponde a la manga máxima." 
"Seno","Vuelta sencilla que se le da a un cabo." 
"Sentina","Es la parte más profunda del interior del casco, donde acumula toda el agua que penetra en él." 
"Serreta","Elemento estructural que corre de proa a popa, reforzando el costado del casco." 
"Sextante","Instrumento de reflexión utilizado en navegación astronómica para determinar la posición del barco en base a la medición de alturas de los astros. Cada uno de los sectores de un círculo cuando se lo divide en seis partes iguales." 
"Shock Cord","Cabo de alma elástica, de muchas aplicaciones a bordo, como por ejemplo los tomadores." 
"Sigladura","Es la distancia recorrida por el barco en 24 horas de navegación. Habitualmente se cuenta de un medio día al siguiente." 
"Sirgar","Llevar una embarcación remolcándola desde la costa con un cabo." 
"Sobrequilla","En los barcos de madera","pieza que se coloca por encima de la quilla, para reforzarla y facilitar la fijación de las tracas." 
"Socaire","Abrigo, resguardo que proporciona una cosa." 
"Sonda","Instrumento que sirve para determinar la profundidad del lugar en que se está navegando." 
"Sondaleza","El cordel de la sonda de mano, en cuyo extremo se fija el escandallo." 
"Sotavento","El lado contrario a donde sopla el viento, con respecto al observador." 
"Spinnaker","Vela triangular que se establece con un tangón y se usa con vientos francos. En sus comienzos se llamaba también parachute por la forma similar a la de un paracaídas. Según algunos autores el nombre Spinnaker es una deformación de "Sphinx's acre", Sphinx era el nombre de un barco inglés de 1866, que se cree que fue el primero en usarla, y acre, nombre de una unidad de área, proviene de la gran superficie que tenía esa vela." 
"Suspención Cardánica","Orificio utilizado a bordo en compases, calentadores, lámparas, etc., para que conserven su posición horizontal a pesar de los movimientos del barco." 
"Tambucho","Abertura practicada en la cubierta para el pasaje de velas y cosas, ventilación y entrada de luz." 
"Tangón","Percha que se utiliza para establecer el spinnaker y a veces alguna otra vela de proa." 
"Tarquina","Vela de forma trapezoidal que se enverga al mástil por su gratil y lleva una percha diagonal desde el puño de amura hasta la parte superior de la baluma." 
"Telera","Caja donde se guardan las banderas del Código Internacional de Señales." 
"Templar","Equilibrar proporcionadamente la tensión de la jarcia." 
"Tenedero","Lugar apto para fondear." 
"Tensor","Herraje que permite ajustar la tensión de los obenques." 
"Tingladillo","Forma de colocar las tracas del forro de manera tal que sus bordes se superpongan." 
"Tintero","Herraje hembra de la gansera en el cual encastra el pinzote." 
"Tolete","Herraje plástico o de metal en forma de horquilla que sirve de apoyo y articulación para los remos." 
"Tomadores","Cabos generalmente elásticos que sirven para sujetar cosas tales como una vela de proa arriada, una mayor adujada en la botavara, etc." 
"Tope","Extremo superior del mástil." 
"Tracas","Tablas que componen el forro del casco." 
"Trancanil","Primera fila de tablas de cubierta, que cubren las cabezas de las cuadernas." 
"Transluchar","Cambiar la amura de las velas en la virada por redondo, tomar por la lúa." 
"Través","Dirección perpendicular al costado del barco." 
"Trinca","Cabo con que se sujeta alguna cosa." 
"Tricar","Hacer firme, sujetar, asegurar una cosa de manera que no pueda caerse o ser arrastrado por el agua." 
"Trinquete","Denominación que se da al palo de proa cuando existen varios y a la vela que se iza en él." 
"Trinquetilla","El primer foque en los barcos que llevan más de uno y que se iza en el estay más bajo." 
"Uña","Extremo de cada brazo de un ancla, también llamado pico de loro." 
"Vagra","Miembro estructural longitudinal paralelo a la quilla que refuerza el casco contra la flexión." 
"Varadero","Lugar apropiado para sacar las embarcaciones a tierra, con el objeto de repararlas, pintarlas, etc." 
"Varar","Poner en seco una embarcación. Encallar un barco en la costa o un bajo." 
"Varenga","Pieza estructural transversal que se afirma en la quilla y enlaza las ramas de una cuaderna." 
"Vareta","Cuadernas finas, formadas por listones de madera curvados a vapor." 
"Velamen","Conjunto de velas de una embarcación." 
"Verdín","Filamento adherido al casco de un barco cuando permanece mucho tiempo en el agua. También se lo llama barba." 
"Verduguillo","Listón de madera de media caña que se coloca al costado como adorno refuerzo o defensa." 
"Verga","Percha en la cual se establece una vela cuadra." 
"Veril","Borde de un canal." 
"Viento","Cabo que se ata a una cosa, para sostenerla. Cabos con los que se hace firme la carpa." 
"Viento aparente o relativo","Es que resulta de la composición vectorial del viento real y velocidad del viento real y velocidad del barco. Es el que actúa sobre las velas." 
"Viento real","Es el que sopla en el lugar donde se está navegando, independientemente de la velocidad del barco." 
"Virar","Cambiar de amura, cruzando la dirección del viento. Cuando se lo hace por proa se llama virar por avante. Cuando se lo hace por popa se lo llama virar por redondo." 
"Virazón","Viento de origen convectivo que sopla desde el agua hacia la costa cuando no reinan vientos generales." 
"Yate","Barco de recreo de vela o motor." 
"Yawl (Yol)","Barco aparejado con dos mástiles, mayor y mesana, estando este último detrás del timón." 
"Yola","Pequeña embarcación con orza, generalmente destinada a correr regatas. En ingles se las llama Dinghy." 
"Zafar","Librarse de una varadura. Desembarazarse de un estorbo o peligro." 
"Zaga","En la corredera de barquilla, longitud del cordel (más o menos de la eslora del barco), a partir de la cual comienzan los nudos que indican la velocidad." 
"Zapata","Tablazón compuesta de una o varias piezas, que se afirma a la quilla por su lado exterior, como refuerzo o relleno para bajar más el lastre."
"
